latitude,longitude
-6.8705324,39.2886992
-6.8714485,39.2883796
-6.8721941,39.28806
-6.8728333,39.2874209
-6.8732807,39.2867392
-6.8736002,39.2859722
-6.8739198,39.2846088
-6.8742606,39.2839483
-6.874708,39.2831388
-6.8750963,39.2824698
-6.8755077,39.282221
-6.8755755,39.2822125
-6.8759272,39.2821829
-6.8761107,39.2821858
-6.8762323,39.2821312
-6.8776555,39.2822436
-6.8783312,39.2825253
-6.8785955,39.2826974
-6.8790318,39.2830464
-6.8793968,39.283244
-6.8794102,39.2832452
-6.8797169,39.2832725
-6.8799399,39.283316
-6.8800444,39.2833148
-6.880286,39.2832839
-6.8804068,39.283239
-6.8806512,39.2830311
-6.8807162,39.282824
-6.8807096,39.2821494
-6.8807093,39.2821157
-6.8806715,39.2816034
-6.8806749,39.281232
-6.880668,39.2810636
-6.8805287,39.2807361
-6.8805549,39.2805409
-6.880535,39.2805057
-6.8805446,39.280499
-6.8805731,39.2804744
-6.8806225,39.2802931
-6.8807126,39.2800978
-6.8810527,39.2799853
-6.8812201,39.2797621
-6.8816141,39.2793783
-6.8816763,39.2793249
-6.8817355,39.2792489
-6.8817584,39.2792064
-6.8818749,39.2789912
-6.8819299,39.2787926
-6.8820017,39.2785603
-6.8820524,39.2783153
-6.8821073,39.2780449
-6.8820228,39.2776436
-6.8819848,39.2774958
-6.8819975,39.2772888
-6.8819972,39.2772659
-6.881995,39.2770944
-6.8819933,39.2769635
-6.882044,39.2766551
-6.8820735,39.2763806
-6.8821681,39.2760944
-6.882234,39.2758948
-6.8823946,39.2754639
-6.8824368,39.2752104
-6.8824579,39.2751428
-6.8824537,39.2750372
-6.8824748,39.2749063
-6.8825044,39.2747035
-6.8825313,39.2746407
-6.8825931,39.2744965
-6.8825839,39.2743629
-6.8825727,39.274279
-6.882571,39.2742659
-6.8825419,39.2741721
-6.8825128,39.2740396
-6.8825107,39.2739354
-6.8825096,39.2738812
-6.882474,39.2737809
-6.8824384,39.2736355
-6.8824029,39.2735546
-6.8823802,39.2735061
-6.8823641,39.2734221
-6.8823447,39.2732928
-6.8822962,39.2731731
-6.8822929,39.2731149
-6.8823026,39.2730729
-6.8823123,39.2729468
-6.8823253,39.272811
-6.8823802,39.2726235
-6.8824287,39.2724489
-6.8824675,39.2723261
-6.8825516,39.2721644
-6.8826162,39.2720416
-6.8826321,39.2720161
-6.8826906,39.2719219
-6.8828199,39.2718217
-6.8830333,39.2717473
-6.8832338,39.2717312
-6.8832855,39.2716471
-6.8832629,39.2715566
-6.8832047,39.2714111
-6.8831497,39.2713367
-6.8828781,39.2712365
-6.8828842,39.2712094
-6.8827206,39.2713129
-6.8825993,39.2713822
-6.8825963,39.2714043
-6.8825613,39.271424
-6.8823948,39.271416
-6.8823608,39.2714143
-6.882238,39.2713626
-6.8821749,39.2713497
-6.8821927,39.271285
-6.8822444,39.2712074
-6.8823253,39.271146
-6.8824514,39.2710555
-6.8825451,39.2710005
-6.8826486,39.27091
-6.8826597,39.2709015
-6.8827153,39.2708589
-6.8827585,39.2708259
-6.8828102,39.2706513
-6.8828296,39.2705123
-6.8828005,39.2704606
-6.8827456,39.2704218
-6.8827265,39.2703998
-6.8827035,39.2703733
-6.8826292,39.2703183
-6.882516,39.2702375
-6.8823802,39.2701728
-6.8821313,39.2699724
-6.8820734,39.2699054
-6.8820084,39.2698301
-6.8819696,39.2694098
-6.8819438,39.2693225
-6.8819244,39.2692256
-6.8818391,39.2690793
-6.8819283,39.2690579
-6.8824885,39.2689357
-6.8828357,39.2688672
-6.8833272,39.2687655
-6.8840721,39.2685762
-6.8844048,39.2684917
-6.8846742,39.2684215
-6.8850617,39.2683206
-6.8851223,39.2683048
-6.8851447,39.268299
-6.8852781,39.2682833
-6.8853215,39.2682754
-6.885521,39.2682292
-6.8857254,39.2682022
-6.8859873,39.2682057
-6.8862157,39.2682394
-6.8863061,39.2682741
-6.8863929,39.268324
-6.8864755,39.2683819
-6.8865871,39.2684473
-6.8866578,39.2684951
-6.8866701,39.2685048
-6.886693,39.2685198
-6.8871612,39.26897
-6.8871712,39.2689798
-6.8872477,39.2690549
-6.8875645,39.2693159
-6.8875747,39.2693243
-6.8877526,39.2695022
-6.888015,39.2695648
-6.8881504,39.2695971
-6.888574,39.2696116
-6.8886161,39.269613
-6.8888049,39.2695633
-6.8889178,39.2695336
-6.8894047,39.2693166
-6.8895688,39.2691711
-6.8897567,39.2690996
-6.8897724,39.2690934
-6.889889,39.2690467
-6.8903458,39.2688216
-6.8904368,39.2687768
-6.8909813,39.2683416
-6.891072,39.2682691
-6.8910722,39.2682689
-6.8911487,39.2682078
-6.8916122,39.2678663
-6.8916674,39.2678246
-6.8918287,39.2677144
-6.8920675,39.267542
-6.8923457,39.2674083
-6.8924142,39.2673753
-6.8924325,39.2673692
-6.8928191,39.2672404
